Number of non‑zero bins: 812
Total bins: 209952
Fraction: 0.39%

#R=G=B, hence the colours are all gray to black

(np.int64(4), np.int64(7), np.int64(13), np.int64(25)) -> [2.4585104 2.4585104 2.4585104]
(np.int64(4), np.int64(8), np.int64(12), np.int64(26)) -> [28.058916 28.058916 28.058916]
(np.int64(4), np.int64(8), np.int64(13), np.int64(26)) -> [5.4489427 5.4489427 5.4489427]
(np.int64(4), np.int64(9), np.int64(12), np.int64(27)) -> [28.482666 28.482666 28.482666]
(np.int64(4), np.int64(9), np.int64(13), np.int64(27)) -> [5.935122 5.935122 5.935122]
(np.int64(4), np.int64(10), np.int64(12), np.int64(27)) -> [7.854543 7.854543 7.854543]
(np.int64(4), np.int64(10), np.int64(12), np.int64(28)) -> [23.877892 23.877892 23.877892]
(np.int64(4), np.int64(10), np.int64(13), np.int64(27)) -> [0.08362307 0.08362307 0.08362307]
(np.int64(4), np.int64(10), np.int64(13), np.int64(28)) -> [1.9861686 1.9861686 1.9861686]
(np.int64(4), np.int64(17), np.int64(3), np.int64(27)) -> [0.13374022 0.13374022 0.13374022]
(np.int64(4), np.int64(17), np.int64(3), np.int64(30)) -> [0.03835931 0.03835931 0.03835931]
(np.int64(4), np.int64(17), np.int64(11), np.int64(31)) -> [0.4036817 0.4036817 0.4036817]
(np.int64(4), np.int64(17), np.int64(11), np.int64(32)) -> [4.984359 4.984359 4.984359]
(np.int64(4), np.int64(17), np.int64(12), np.int64(31)) -> [0.36951265 0.36951265 0.36951265]
(np.int64(4), np.int64(17), np.int64(12), np.int64(32)) -> [2.6583843 2.6583843 2.6583843]
(np.int64(4), np.int64(17), np.int64(14), np.int64(34)) -> [4.2337284 4.2337284 4.2337284]
(np.int64(4), np.int64(17), np.int64(14), np.int64(35)) -> [22.79171 22.79171 22.79171]
(np.int64(4), np.int64(17), np.int64(15), np.int64(34)) -> [1.7693985 1.7693985 1.7693985]
(np.int64(4), np.int64(17), np.int64(15), np.int64(35)) -> [4.7796636 4.7796636 4.7796636]
(np.int64(4), np.int64(17), np.int64(16), np.int64(0)) -> [0.01729094 0.01729094 0.01729094]
(np.int64(4), np.int64(17), np.int64(16), np.int64(33)) -> [0.01884216 0.01884216 0.01884216]
(np.int64(4), np.int64(18), np.int64(3), np.int64(19)) -> [0.345103 0.345103 0.345103]
(np.int64(4), np.int64(18), np.int64(3), np.int64(20)) -> [0.08985811 0.08985811 0.08985811]
(np.int64(4), np.int64(18), np.int64(3), np.int64(30)) -> [0.00024707 0.00024707 0.00024707]
(np.int64(4), np.int64(18), np.int64(12), np.int64(32)) -> [0.07123821 0.07123821 0.07123821]
(np.int64(4), np.int64(18), np.int64(13), np.int64(19)) -> [0.84054327 0.84054327 0.84054327]
(np.int64(4), np.int64(18), np.int64(13), np.int64(20)) -> [0.33600172 0.33600172 0.33600172]
(np.int64(4), np.int64(18), np.int64(14), np.int64(0)) -> [16.079403 16.079403 16.079403]
(np.int64(4), np.int64(18), np.int64(14), np.int64(1)) -> [0.38216978 0.38216978 0.38216978]
(np.int64(4), np.int64(18), np.int64(14), np.int64(19)) -> [3.930034 3.930034 3.930034]
(np.int64(4), np.int64(18), np.int64(14), np.int64(20)) -> [2.7767756 2.7767756 2.7767756]
